"","id","CS","SB","ELO","Season","FIX ME","Name"
"1","",0,0,0,1776,NA,"NA NA"
"2","aased001",5,10,1055.04873021764,1979,NA,"Don Aase"
"3","abbog001",4,7,1018.90829672249,1979,NA,"Glenn Abbott"
"4","alexd001",6,12,1021.45631177087,1979,NA,"Doyle Alexander"
"5","allab101",2,3,1004.25820571384,1979,NA,"Brian Allard"
"6","allen001",7,11,1037.00550514193,1979,NA,"Neil Allen"
"7","anduj001",4,18,931.221172809765,1979,NA,"Joaquin Andujar"
"8","arrof001",0,1,989.516702270086,1979,NA,"Fernando Arroyo"
"9","auguj001",4,4,1049.95253370945,1979,NA,"Jerry Augustine"
"10","bacsm101",0,6,954.692558245222,1979,NA,"Mike Bacsik"
"11","bahns101",13,5,1167.43418705791,1979,NA,"Stan Bahnsen"
"12","baird001",1,8,947.869848895517,1979,NA,"Doug Bair"
"13","bakes101",3,5,985.642014829537,1979,NA,"Steve Baker"
"14","bannf001",7,22,979.711957226867,1979,NA,"Floyd Bannister"
"15","barkl001",3,14,963.715037967983,1979,NA,"Len Barker"
"16","barlm101",2,12,948.107159880761,1979,NA,"Mike Barlow"
"17","barrf101",5,10,1026.61333222191,1979,NA,"Francisco Barrios"
"18","barrj101",6,19,994.414105800309,1979,NA,"Jim Barr"
"19","baumr101",1,13,949.369765519824,1979,NA,"Ross Baumgarten"
"20","beatj001",2,11,937.322802122279,1979,NA,"Jim Beattie"
"21","beckj001",1,6,973.479701858528,1979,NA,"Joe Beckwith"
"22","berej001",3,4,1022.69700265655,1979,NA,"Juan Berenguer"
"23","bernd101",3,3,1048.63075634078,1979,NA,"Dwight Bernard"
"24","bibbj001",1,15,896.437694110028,1979,NA,"Jim Bibby"
"25","billj101",11,12,1067.82166381856,1979,NA,"Jack Billingham"
"26","birdd101",1,4,976.475838286779,1979,NA,"Doug Bird"
"27","bluev001",13,16,1103.77749402816,1979,NA,"Vida Blue"
"28","blylb001",8,27,993.463098890547,1979,NA,"Bert Blyleven"
"29","boggt001",0,6,937.170398308723,1979,NA,"Tommy Boggs"
"30","bonhb101",5,9,1023.48857901588,1979,NA,"Bill Bonham"
"31","borbp101",2,4,1035.67846909535,1979,NA,"Pedro Borbon"
"32","bottr101",2,1,1033.39840023876,1979,NA,"Ralph Botting"
"33","bradl101",1,3,1001.0676671819,1979,NA,"Larry Bradford"
"34","branr102",0,2,986.681747604227,1979,NA,"Roy Branch"
"35","bretk101",1,2,1001.90600972195,1979,NA,"Ken Brett"
"36","brizt001",2,10,981.86246528726,1979,NA,"Tony Brizzolara"
"37","brunt101",1,6,944.880188820489,1979,NA,"Tom Bruno"
"38","brusw001",1,0,1043.76200421227,1979,NA,"Warren Brusstar"
"39","burgt001",1,1,1040.74423973571,1979,NA,"Tom Burgmeier"
"40","burnb001",0,1,997.19684815936,1979,NA,"Britt Burns"
"41","burns101",0,3,975.159664357647,1979,NA,"Sheldon Burnside"
"42","burrr001",5,7,1018.878496228,1979,NA,"Ray Burris"
"43","busbs101",4,9,963.888350417274,1979,NA,"Steve Busby"
"44","buskt101",1,4,984.841899608673,1979,NA,"Tom Buskey"
"45","caldm001",6,9,1033.32491329338,1979,NA,"Mike Caldwell"
"46","campb001",2,3,994.593002586628,1979,NA,"Bill Campbell"
"47","candj001",5,5,1078.5395530753,1979,NA,"John Candelaria"
"48","carls001",10,7,1126.95159790035,1979,NA,"Steve Carlton"
"49","castb101",1,2,1016.78153530412,1979,NA,"Bill Castro"
"50","castr001",2,0,1046.20414891498,1979,NA,"Bobby Castillo"
"51","caudb001",2,12,957.279756321686,1979,NA,"Bill Caudill"
"52","chamc101",2,3,1014.14748125868,1979,NA,"Craig Chamberlain"
"53","chril101",9,5,1093.66038129374,1979,NA,"Larry Christenson"
"54","chrim101",1,4,982.549792982449,1979,NA,"Mike Chris"
"55","clanj001",1,6,936.87583460222,1979,NA,"Jim Clancy"
"56","clayk101",3,5,992.07435924307,1979,NA,"Ken Clay"
"57","cleam001",3,20,918.343875971877,1979,NA,"Mark Clear"
"58","clevr101",4,4,1037.88030211603,1979,NA,"Reggie Cleveland"
"59","clydd101",1,1,1040.23668005001,1979,NA,"David Clyde"
"60","colej102",1,0,1044.03115112775,1979,NA,"Joe Coleman"
"61","comes001",6,9,1063.82346901032,1979,NA,"Steve Comer"
"62","cruzv101",5,7,1028.52378703841,1979,NA,"Victor Cruz"
"63","curtj001",4,8,1020.7720526207,1979,NA,"John Curtis"
"64","dacqj101",8,15,1024.33639480237,1979,NA,"John D'Acquisto"
"65","darwd001",1,4,981.8381612495,1979,NA,"Danny Darwin"
"66","davir001",1,9,949.790279768527,1979,NA,"Ron Davis"
"67","deckj101",1,6,967.569721487688,1979,NA,"Joe Decker"
"68","dennj001",6,8,1092.19021527962,1979,NA,"John Denny"
"69","devia101",3,6,1022.52813045185,1979,NA,"Adrian Devine"
"70","dixot101",1,1,1013.05868700459,1979,NA,"Tom Dixon"
"71","dotsr001",1,3,993.115347613371,1979,NA,"Richard Dotson"
"72","dragd101",2,3,1020.83005366414,1979,NA,"Dick Drago"
"73","dresr101",0,10,936.49113123418,1979,NA,"Rob Dressler"
"74","eastj001",0,1,991.435973359132,1979,NA,"Jamie Easterly"
"75","eastr101",4,13,976.719057636375,1979,NA,"Rawly Eastwick"
"76","ecked001",3,29,893.219896787744,1979,NA,"Dennis Eckersley"
"77","eddys101",0,1,992.977929880023,1979,NA,"Steve Eddy"
"78","edgeb102",0,6,953.050101975161,1979,NA,"Butch Edge"
"79","eichj001",1,3,1002.36502432863,1979,NA,"Juan Eichelberger"
"80","ellid101",7,17,999.374323569336,1979,NA,"Dock Ellis"
"81","ericr101",4,9,1023.55724703862,1979,NA,"Roger Erickson"
"82","espin101",7,11,1044.07286468917,1979,NA,"Nino Espinosa"
